City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nogales,MX,2021-10-10 00:07:25,31.3086,-110.9422,81.48,26,1,14.97
1,Qaqortoq,GL,2021-10-10 00:10:31,60.7167,-46.0333,30.7,54,17,5.41
2,Bluff,NZ,2021-10-10 00:10:31,-46.6,168.3333,64.8,58,62,2.57
3,Namibe,AO,2021-10-10 00:10:32,-15.1961,12.1522,64.13,79,7,3.27
4,Rikitea,PF,2021-10-10 00:10:32,-23.1203,-134.9692,74.5,81,94,17.52
5,Iqaluit,CA,2021-10-10 00:10:13,63.7506,-68.5145,34.7,93,98,4.0
6,Punta Arenas,CL,2021-10-10 00:07:15,-53.15,-70.9167,42.91,87,75,23.02
7,Butaritari,KI,2021-10-10 00:10:33,3.0707,172.7902,81.59,73,92,12.37
8,Darhan,MN,2021-10-10 00:10:33,49.4867,105.9228,33.8,60,1,6.35
9,Kamyshevatskaya,RU,2021-10-10 00:10:34,46.4132,37.9563,52.2,43,99,19.26
10,Harper,LR,2021-10-10 00:09:17,4.375,-7.7169,76.66,90,57,7.61
11,Avarua,CK,2021-10-10 00:05:53,-21.2078,-159.775,78.85,57,40,8.05
12,Warman,CA,2021-10-10 00:10:34,52.3168,-106.5679,63.9,15,65,7.54
13,Nioro,GM,2021-10-10 00:10:35,13.35,-15.75,77.81,86,99,5.44
14,Dikson,RU,2021-10-10 00:07:53,73.5069,80.5464,30.24,58,100,24.38
15,Iskateley,RU,2021-10-10 00:10:35,67.6803,53.1512,31.44,74,93,7.83
16,Codrington,AU,2021-10-10 00:10:36,-38.2667,141.9667,53.22,71,26,12.3
17,Colomi,BO,2021-10-10 00:10:36,-17.35,-65.8667,50.63,82,85,4.29
18,Kaitangata,NZ,2021-10-10 00:10:37,-46.2817,169.8464,57.92,68,3,4.97
19,Atuona,PF,2021-10-10 00:05:54,-9.8,-139.0333,78.1,74,7,17.43
20,Berlevag,NO,2021-10-10 00:09:57,70.8578,29.0864,39.58,92,100,5.7
21,Port Alfred,ZA,2021-10-10 00:10:37,-33.5906,26.891,58.84,76,16,15.64
22,Kununurra,AU,2021-10-10 00:09:00,-15.7667,128.7333,85.98,48,20,4.61
23,Bilibino,RU,2021-10-10 00:10:38,68.0546,166.4372,10.27,94,100,1.43
24,Ushuaia,AR,2021-10-10 00:08:00,-54.8,-68.3,44.26,87,75,25.32
25,San Rafael,AR,2021-10-10 00:10:39,-34.6177,-68.3301,63.61,47,73,4.79
26,Bengkulu,ID,2021-10-10 00:06:22,-3.8004,102.2655,77.16,91,46,3.96
27,Otavi,NA,2021-10-10 00:10:39,-19.65,17.3333,71.49,7,0,14.63
28,Albany,US,2021-10-10 00:09:11,42.6001,-73.9662,61.21,80,100,1.01
29,Vaini,TO,2021-10-10 00:10:40,-21.2,-175.2,78.96,83,40,8.05
30,Grindavik,IS,2021-10-10 00:09:07,63.8424,-22.4338,43.27,87,20,12.66
31,Cherskiy,RU,2021-10-10 00:10:40,68.75,161.3,11.68,95,98,5.77
32,Pilna,RU,2021-10-10 00:10:41,55.5539,45.9219,40.73,70,70,5.5
33,Lavrentiya,RU,2021-10-10 00:10:41,65.5833,-171.0,32.34,74,59,8.34
34,Vila Franca Do Campo,PT,2021-10-10 00:05:44,37.7167,-25.4333,72.19,84,59,9.69
35,Puerto Ayora,EC,2021-10-10 00:10:41,-0.7393,-90.3518,69.55,88,74,5.01
36,Barrow,US,2021-10-10 00:07:20,71.2906,-156.7887,32.02,74,75,9.22
37,Hualmay,PE,2021-10-10 00:10:42,-11.0964,-77.6139,63.64,87,58,10.71
38,Jamestown,US,2021-10-10 00:10:42,42.097,-79.2353,63.99,88,90,8.01
39,Sao Joao Da Barra,BR,2021-10-10 00:10:43,-21.6403,-41.0511,68.43,80,100,9.28
40,Cape Town,ZA,2021-10-10 00:06:00,-33.9258,18.4232,59.11,62,2,8.5
41,Rafai,CF,2021-10-10 00:10:43,4.95,23.9167,70.7,98,100,1.3
42,Corpus Christi,US,2021-10-10 00:06:59,27.8006,-97.3964,82.96,73,20,11.01
43,Byron Bay,AU,2021-10-10 00:06:15,-28.65,153.6167,84.31,55,4,15.95
44,Thompson,CA,2021-10-10 00:08:00,55.7435,-97.8558,47.16,51,1,5.99
45,Angoche,MZ,2021-10-10 00:10:44,-16.2325,39.9086,72.37,76,0,10.47
46,Syracuse,IT,2021-10-10 00:10:45,37.0881,15.2792,63.9,68,23,4.83
47,Murdochville,CA,2021-10-10 00:10:45,48.9583,-65.5006,39.07,82,23,2.1
48,Kapaa,US,2021-10-10 00:05:51,22.0752,-159.319,87.78,68,90,7.0
49,Shingu,JP,2021-10-10 00:10:46,33.7333,135.9833,74.89,89,40,7.56
50,Pevek,RU,2021-10-10 00:10:46,69.7008,170.3133,25.5,93,100,2.91
51,Saint-Philippe,RE,2021-10-10 00:10:47,-21.3585,55.7679,71.19,86,49,13.96
52,Busselton,AU,2021-10-10 00:10:47,-33.65,115.3333,54.05,72,93,7.81
53,Mataura,NZ,2021-10-10 00:07:38,-46.1927,168.8643,64.47,41,26,4.05
54,Genhe,CN,2021-10-10 00:10:48,50.7833,121.5167,35.85,88,100,11.72
55,Wasilla,US,2021-10-10 00:09:56,61.5814,-149.4394,47.28,82,90,3.44
56,Hermanus,ZA,2021-10-10 00:10:48,-34.4187,19.2345,55.9,81,0,11.72
57,Khasan,RU,2021-10-10 00:10:49,42.4308,130.6434,64.9,93,100,7.87
58,Sampit,ID,2021-10-10 00:07:20,-2.5333,112.95,79.32,87,82,1.59
59,Faanui,PF,2021-10-10 00:07:56,-16.4833,-151.75,78.75,70,13,5.97
60,Flin Flon,CA,2021-10-10 00:10:49,54.7682,-101.865,52.03,56,5,6.24
