City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,82.67,98,68,13.24,overcast clouds
1,Buala,SB,-8.145,159.5921,81.3,96,80,5.14,overcast clouds
2,Vaini,TO,-21.2,-175.2,75.36,75,88,4.61,broken clouds
3,Soltsy,RU,58.1239,30.3238,41.85,6,74,7.0,clear sky
4,Port Alfred,ZA,-33.5906,26.891,60.24,17,70,24.7,few clouds
5,Salalah,OM,17.0151,54.0924,80.69,75,83,5.75,broken clouds
6,Kapaa,US,22.0752,-159.319,80.92,40,69,7.0,light rain
7,Rikitea,PF,-23.1203,-134.9692,74.62,97,80,19.73,overcast clouds
8,Sinnamary,GF,5.3833,-52.95,81.7,99,78,10.87,overcast clouds
9,Husavik,IS,66.0449,-17.3389,35.51,100,97,1.32,overcast clouds
10,Waipawa,NZ,-41.4122,175.5153,56.44,24,67,7.25,few clouds
11,Bengkulu,ID,-3.8004,102.2655,75.54,91,90,3.42,light rain
12,Thompson,CA,55.7435,-97.8558,50.16,75,81,4.61,broken clouds
13,Torbay,CA,47.6666,-52.7314,46.27,40,77,21.85,scattered clouds
14,Port Hedland,AU,-20.3167,118.5667,71.65,51,28,12.66,broken clouds
15,Teguise,ES,29.0605,-13.564,70.02,75,68,9.22,broken clouds
16,Luwuk,ID,-0.9516,122.7875,78.12,100,88,5.35,overcast clouds
17,Vila Velha,BR,-20.3297,-40.2925,69.75,90,94,6.91,mist
18,Yenagoa,NG,4.9247,6.2642,75.72,95,93,2.53,overcast clouds
19,Jamestown,US,42.097,-79.2353,72.99,40,72,10.36,scattered clouds
20,Norman Wells,CA,65.282,-126.8329,32.04,75,93,11.5,broken clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,90,94,13.8,light intensity drizzle
22,Mount Gambier,AU,-37.8333,140.7667,35.51,99,100,3.44,overcast clouds
23,Chibuto,MZ,-24.6867,33.5306,65.82,82,55,13.09,broken clouds
24,Caravelas,BR,-17.7125,-39.2481,73.06,100,89,8.01,overcast clouds
25,Naranjal,EC,-2.6667,-79.6167,78.6,54,69,5.53,broken clouds
26,Avarua,CK,-21.2078,-159.775,77.05,100,69,9.22,overcast clouds
27,Hay River,CA,60.8156,-115.7999,39.18,75,75,17.27,broken clouds
28,Zhangye,CN,38.9342,100.4517,47.23,0,35,3.51,clear sky
29,Teknaf,BD,20.8624,92.3058,79.86,98,89,4.23,overcast clouds
30,Sitka,US,57.0531,-135.33,48.09,20,76,5.75,light rain
31,Danilovka,RU,50.3557,44.1168,44.53,0,53,2.95,clear sky
32,Port Blair,IN,11.6667,92.75,80.73,100,83,17.02,overcast clouds
33,Souris,CA,49.6172,-100.2612,64.74,70,25,10.07,broken clouds
34,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.99,1,76,13.8,clear sky
35,Dikson,RU,73.5069,80.5464,29.88,100,66,22.55,overcast clouds
36,Prince Rupert,CA,54.3161,-130.3201,47.89,90,85,5.75,mist
37,Mataura,NZ,-46.1927,168.8643,47.48,100,88,2.59,light rain
38,Lucea,JM,18.451,-78.1736,85.86,99,70,1.36,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,29.5,100,89,8.43,overcast clouds
40,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,75,94,15.12,broken clouds
41,Merauke,ID,-8.4667,140.3333,76.62,100,84,7.65,overcast clouds
42,Lucapa,AO,-8.4192,20.7447,75.11,93,49,3.4,overcast clouds
43,Jalu,LY,29.0331,21.5482,78.3,0,27,9.33,clear sky
44,Cape Town,ZA,-33.9258,18.4232,65.12,0,85,4.61,clear sky
45,Sabaudia,IT,41.3003,13.0282,55.31,38,78,2.82,scattered clouds
46,Tuatapere,NZ,-46.1333,167.6833,47.82,100,96,4.83,overcast clouds
47,Alofi,NU,-19.0595,-169.9187,75.09,90,94,2.3,overcast clouds
48,Kapelle,FR,50.9998,2.3585,58.96,89,80,1.99,overcast clouds
49,Punta Arenas,CL,-53.15,-70.9167,51.91,20,37,34.52,few clouds
50,Ushuaia,AR,-54.8,-68.3,51.46,40,35,24.16,light rain
51,Ballina,AU,-28.8667,153.5667,69.98,58,82,4.61,broken clouds
52,Osakarovka,KZ,50.565,72.5692,41.41,100,66,5.44,moderate rain
53,Goure,NE,13.9835,10.2704,88.02,100,13,8.12,overcast clouds
54,Anadyr,RU,64.75,177.4833,21.7,75,100,4.0,light snow
55,Lavrentiya,RU,65.5833,-171.0,28.96,30,80,2.77,scattered clouds
56,Baryatino,RU,54.3121,34.521,38.26,5,83,3.04,clear sky
57,Portland,US,45.5234,-122.6762,60.84,75,74,1.01,broken clouds
58,Belyy Yar,RU,53.6039,91.3903,39.09,0,65,0.0,clear sky
59,Pevek,RU,69.7008,170.3133,22.57,100,92,7.49,overcast clouds
60,Hobart,AU,-42.8794,147.3294,45.1,20,81,1.01,few clouds
61,Kaitangata,NZ,-46.2817,169.8464,52.77,100,72,3.6,overcast clouds
62,Hermanus,ZA,-34.4187,19.2345,65.89,98,67,7.85,overcast clouds
63,Mehamn,NO,71.0357,27.8492,42.98,100,86,7.25,overcast clouds
64,Whitehorse,CA,60.7161,-135.0538,42.1,75,74,0.0,broken clouds
